capacity_id,service_id,date,cpu_utilization_pct,memory_utilization_pct,storage_utilization_pct,active_connections,request_volume,service_name,service_tier,team_owner,sla_uptime_target_pct,month
2673,SRV-001,2026-05-15,30.15,41.53,38.35,1570,22719,Patient Portal,standard,Patient Experience,99.5,2026-05
2674,SRV-002,2026-05-15,47.32,53.58,37.37,6103,84854,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2675,SRV-003,2026-05-15,51.81,69.95,44.53,6452,77637,EHR,critical,Clinical Systems,99.9,2026-05
2676,SRV-004,2026-05-15,42.42,36.32,41.29,1284,20098,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2677,SRV-005,2026-05-15,70.64,68.05,46.33,6431,93173,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2678,SRV-006,2026-05-15,34.85,39.49,41.33,1307,20007,Lab Results API,standard,Integration,99.5,2026-05
2679,SRV-007,2026-05-15,37.68,38.45,35.89,1321,15905,Notification Service,low,Platform,99.0,2026-05
2680,SRV-008,2026-05-15,60.84,54.3,38.96,5977,116533,Authentication Service,critical,Security,99.9,2026-05
2681,SRV-001,2026-05-16,32.54,40.96,39.02,487,3270,Patient Portal,standard,Patient Experience,99.5,2026-05
2682,SRV-002,2026-05-16,65.56,60.09,43.8,2293,22242,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2683,SRV-003,2026-05-16,62.87,55.53,39.36,2627,20981,EHR,critical,Clinical Systems,99.9,2026-05
2684,SRV-004,2026-05-16,25.98,44.28,45.73,501,4647,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2685,SRV-005,2026-05-16,45.06,54.68,41.95,3082,19954,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2686,SRV-006,2026-05-16,28.06,34.47,46.14,545,3511,Lab Results API,standard,Integration,99.5,2026-05
2687,SRV-007,2026-05-16,30.3,33.16,42.84,489,4518,Notification Service,low,Platform,99.0,2026-05
2688,SRV-008,2026-05-16,61.68,62.68,43.42,2271,12912,Authentication Service,critical,Security,99.9,2026-05
2689,SRV-001,2026-05-17,27.82,28.86,41.71,722,5761,Patient Portal,standard,Patient Experience,99.5,2026-05
2690,SRV-002,2026-05-17,48.81,51.85,35.92,1998,18670,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2691,SRV-003,2026-05-17,67.56,62.65,46.18,2442,24052,EHR,critical,Clinical Systems,99.9,2026-05
2692,SRV-004,2026-05-17,30.09,32.28,42.36,690,5580,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2693,SRV-005,2026-05-17,62.94,60.22,40.54,2377,19831,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2694,SRV-006,2026-05-17,36.98,28.54,41.74,415,2314,Lab Results API,standard,Integration,99.5,2026-05
2695,SRV-007,2026-05-17,31.4,37.49,41.06,421,4033,Notification Service,low,Platform,99.0,2026-05
2696,SRV-008,2026-05-17,61.19,60.59,42.29,2522,18336,Authentication Service,critical,Security,99.9,2026-05
2697,SRV-001,2026-05-18,25.19,32.47,37.88,1418,18399,Patient Portal,standard,Patient Experience,99.5,2026-05
2698,SRV-002,2026-05-18,66.13,71.35,42.44,8002,147565,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2699,SRV-003,2026-05-18,56.46,61.61,42.25,6129,77222,EHR,critical,Clinical Systems,99.9,2026-05
2700,SRV-004,2026-05-18,35.19,30.71,41.81,1412,14547,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2701,SRV-005,2026-05-18,56.12,58.15,42.01,5225,62754,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2702,SRV-006,2026-05-18,33.46,39.05,41.32,1646,24903,Lab Results API,standard,Integration,99.5,2026-05
2703,SRV-007,2026-05-18,39.42,40.46,41.84,1252,14699,Notification Service,low,Platform,99.0,2026-05
2704,SRV-008,2026-05-18,52.51,59.56,42.07,5850,98529,Authentication Service,critical,Security,99.9,2026-05
2705,SRV-001,2026-05-19,23.22,37.6,39.53,1459,17693,Patient Portal,standard,Patient Experience,99.5,2026-05
2706,SRV-002,2026-05-19,51.21,65.32,42.25,5297,80084,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2707,SRV-003,2026-05-19,58.52,68.73,41.61,6427,88790,EHR,critical,Clinical Systems,99.9,2026-05
2708,SRV-004,2026-05-19,29.37,37.12,41.71,1285,17957,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2709,SRV-005,2026-05-19,71.74,62.5,46.45,6089,97704,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2710,SRV-006,2026-05-19,28.05,38.82,38.13,1483,15610,Lab Results API,standard,Integration,99.5,2026-05
2711,SRV-007,2026-05-19,33.7,29.17,38.74,1105,17631,Notification Service,low,Platform,99.0,2026-05
2712,SRV-008,2026-05-19,51.35,53.52,43.19,7335,123503,Authentication Service,critical,Security,99.9,2026-05
2713,SRV-001,2026-05-20,22.8,28.65,41.01,1379,17796,Patient Portal,standard,Patient Experience,99.5,2026-05
2714,SRV-002,2026-05-20,59.34,58.59,41.65,6453,97872,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2715,SRV-003,2026-05-20,68.03,68.62,42.99,6666,91371,EHR,critical,Clinical Systems,99.9,2026-05
2716,SRV-004,2026-05-20,38.37,32.0,41.15,1252,20471,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2717,SRV-005,2026-05-20,63.91,57.45,42.0,5681,90460,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2718,SRV-006,2026-05-20,21.62,37.66,39.02,1278,21219,Lab Results API,standard,Integration,99.5,2026-05
2719,SRV-007,2026-05-20,34.94,30.25,39.94,1381,16399,Notification Service,low,Platform,99.0,2026-05
2720,SRV-008,2026-05-20,66.35,69.4,41.85,7923,138701,Authentication Service,critical,Security,99.9,2026-05
2721,SRV-001,2026-05-21,40.05,32.35,40.39,1121,14190,Patient Portal,standard,Patient Experience,99.5,2026-05
2722,SRV-002,2026-05-21,60.46,70.48,41.83,8527,169008,Claims Processing,critical,Revenue Cycle,99.9,2026-05
2723,SRV-003,2026-05-21,48.37,54.2,35.5,6285,84327,EHR,critical,Clinical Systems,99.9,2026-05
2724,SRV-004,2026-05-21,32.04,39.52,41.51,1373,27265,Appointment Scheduling,standard,Patient Experience,99.5,2026-05
2725,SRV-005,2026-05-21,52.74,72.34,42.46,5646,102817,Billing Engine,critical,Revenue Cycle,99.9,2026-05
2726,SRV-006,2026-05-21,34.99,43.31,46.23,1504,24519,Lab Results API,standard,Integration,99.5,2026-05
2727,SRV-007,2026-05-21,22.24,33.44,36.03,1164,18161,Notification Service,low,Platform,99.0,2026-05
2728,SRV-008,2026-05-21,56.0,57.23,43.17,6235,101506,Authentication Service,critical,Security,99.9,2026-05
